id,name,region_value,is_aggregate
ABW,Aruba,Latin America & Caribbean ,False
AFE,Africa Eastern and Southern,Aggregates,True
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",False
AFR,Africa,Aggregates,True
AFW,Africa Western and Central,Aggregates,True
AGO,Angola,Sub-Saharan Africa ,False
ALB,Albania,Europe & Central Asia,False
AND,Andorra,Europe & Central Asia,False
ARB,Arab World,Aggregates,True
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",False
ARG,Argentina,Latin America & Caribbean ,False
ARM,Armenia,Europe & Central Asia,False
ASM,American Samoa,East Asia & Pacific,False
ATG,Antigua and Barbuda,Latin America & Caribbean ,False
AUS,Australia,East Asia & Pacific,False
AUT,Austria,Europe & Central Asia,False
AZE,Azerbaijan,Europe & Central Asia,False
BDI,Burundi,Sub-Saharan Africa ,False
BEA,East Asia & Pacific (IBRD-only countries),Aggregates,True
BEC,Europe & Central Asia (IBRD-only countries),Aggregates,True
BEL,Belgium,Europe & Central Asia,False
BEN,Benin,Sub-Saharan Africa ,False
BFA,Burkina Faso,Sub-Saharan Africa ,False
BGD,Bangladesh,South Asia,False
BGR,Bulgaria,Europe & Central Asia,False
BHI,IBRD countries classified as high income,Aggregates,True
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",False
BHS,"Bahamas, The",Latin America & Caribbean ,False
BIH,Bosnia and Herzegovina,Europe & Central Asia,False
BLA,Latin America & the Caribbean (IBRD-only countries),Aggregates,True
BLR,Belarus,Europe & Central Asia,False
BLZ,Belize,Latin America & Caribbean ,False
BMN,"Middle East, North Africa, Afghanistan & Pakistan (IBRD only)",Aggregates,True
BMU,Bermuda,North America,False
BOL,Bolivia,Latin America & Caribbean ,False
BRA,Brazil,Latin America & Caribbean ,False
BRB,Barbados,Latin America & Caribbean ,False
BRN,Brunei Darussalam,East Asia & Pacific,False
BSS,Sub-Saharan Africa (IBRD-only countries),Aggregates,True
BTN,Bhutan,South Asia,False
BWA,Botswana,Sub-Saharan Africa ,False
CAA,Sub-Saharan Africa (IFC classification),Aggregates,True
CAF,Central African Republic,Sub-Saharan Africa ,False
CAN,Canada,North America,False
CEA,East Asia and the Pacific (IFC classification),Aggregates,True
CEB,Central Europe and the Baltics,Aggregates,True
CEU,Europe and Central Asia (IFC classification),Aggregates,True
CHE,Switzerland,Europe & Central Asia,False
CHI,Channel Islands,Europe & Central Asia,False
CHL,Chile,Latin America & Caribbean ,False
CHN,China,East Asia & Pacific,False
CIV,Cote d'Ivoire,Sub-Saharan Africa ,False
CLA,Latin America and the Caribbean (IFC classification),Aggregates,True
CME,Middle East and North Africa (IFC classification),Aggregates,True
CMR,Cameroon,Sub-Saharan Africa ,False
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,False
COG,"Congo, Rep.",Sub-Saharan Africa ,False
COL,Colombia,Latin America & Caribbean ,False
COM,Comoros,Sub-Saharan Africa ,False
CPV,Cabo Verde,Sub-Saharan Africa ,False
CRI,Costa Rica,Latin America & Caribbean ,False
CSA,South Asia (IFC classification),Aggregates,True
CSS,Caribbean small states,Aggregates,True
CUB,Cuba,Latin America & Caribbean ,False
CUW,Curacao,Latin America & Caribbean ,False
CYM,Cayman Islands,Latin America & Caribbean ,False
CYP,Cyprus,Europe & Central Asia,False
CZE,Czechia,Europe & Central Asia,False
DEA,East Asia & Pacific (IDA-eligible countries),Aggregates,True
DEC,Europe & Central Asia (IDA-eligible countries),Aggregates,True
DEU,Germany,Europe & Central Asia,False
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",False
DLA,Latin America & the Caribbean (IDA-eligible countries),Aggregates,True
DMA,Dominica,Latin America & Caribbean ,False
DMN,"Middle East, North Africa, Afghanistan & Pakistan (IDA total)",Aggregates,True
DNK,Denmark,Europe & Central Asia,False
DNS,IDA countries in Sub-Saharan Africa not classified as fragile situations ,Aggregates,True
DOM,Dominican Republic,Latin America & Caribbean ,False
DSA,South Asia (IDA-eligible countries),Aggregates,True
DSF,IDA countries in Sub-Saharan Africa classified as fragile situations ,Aggregates,True
DSS,Sub-Saharan Africa (IDA-eligible countries),Aggregates,True
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",False
EAP,East Asia & Pacific (excluding high income),Aggregates,True
EAR,Early-demographic dividend,Aggregates,True
EAS,East Asia & Pacific,Aggregates,True
ECA,Europe & Central Asia (excluding high income),Aggregates,True
ECS,Europe & Central Asia,Aggregates,True
ECU,Ecuador,Latin America & Caribbean ,False
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",False
EMU,Euro area,Aggregates,True
ERI,Eritrea,Sub-Saharan Africa ,False
ESP,Spain,Europe & Central Asia,False
EST,Estonia,Europe & Central Asia,False
ETH,Ethiopia,Sub-Saharan Africa ,False
EUU,European Union,Aggregates,True
FIN,Finland,Europe & Central Asia,False
